latitude,longitude,weights
-34.9328294,138.6038129,757500
-34.9091145,138.5962997,992500
-35.0183091,138.7442455,685000
-34.939722,138.737222,0
-34.929881,138.7743842,951000
-34.998118,138.62254,595000
-35.0712438,138.7064381,505000
-35.0123998,138.7743842,405500
-34.966565,138.7743842,530000
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,565000
-34.9934589,138.6840168,577000
-35.0858138,138.6777686,0
-34.9526096,138.7015768,605250
-35.0275296,138.7166326,700000
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,0
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,390000
-34.9174787,138.7442455,0
-34.9788,138.732,550000
-34.8955402,138.6965591,486000
-35.0579372,138.7015768,0
-35.0058863,138.714123,622500
-34.935,138.678,800000
-34.95,138.716667,648750
-34.914,138.696,0
-35.015,138.686,500000
-34.9599982,138.7417347,415500
-34.96,138.676,805000
-34.9063302,138.7116136,840000
-34.918,138.685,1010000
-34.951,138.661,856000
-34.919,138.643,765000
-34.939,138.666,725000
-34.936,138.63,755000
-34.942,138.621,676320
-34.928,138.662,857500
-34.947,138.63,780000
-34.9600124,138.6501667,955000
-34.943,138.635,905000
-34.951,138.639,970000
-34.939,138.657,748000
-34.9376057,138.7040858,0
-34.9177203,138.6614478,1200000
-34.9208593,138.6551802,800000
-34.93,138.651,1620000
-34.9677,138.671,0
-34.947,138.65,800000
-34.909,138.6758,590000
-34.963529,138.6614478,600000
-34.93072,138.62798,1610000
-34.9221,138.6754,1130000
-34.925,138.694,840000
-34.954,138.648,0
-34.935,138.678,800000
-34.933,138.638,1301000
-34.9360768,138.6476601,1108000
-34.96,138.676,805000
-34.927812,138.677073,746250
-34.87,138.703,472500
-34.878,138.663,460000
-34.8929224,138.6652086,522500
-34.909,138.6758,590000
-34.880165,138.6815087,463500
-34.872,138.676,460000
-34.8955402,138.6965591,486000
-34.905,138.662,595000
-34.878,138.521,415500
-34.904,138.555,617750
-34.858,138.543,355000
-34.893,138.547,405000
-34.904,138.579,295833
-34.897,138.577,452500
-34.869,138.526,605000
-34.898,138.564,275500
-34.888,138.58,460000
-34.9004716,138.5312279,475000
-34.908,138.546,485000
-34.913,138.514,600000
-34.9,138.489,605500
-34.872,138.515,410750
-34.92,138.494,672750
-34.927,138.501,971250
-34.906,138.57,0
-34.914,138.528,575000
-34.8783839,138.552493,385000
-34.898,138.586,470000
-34.856,138.529,395000
-34.893,138.578,385000
-34.8925,138.5703,495000
-34.8551221,138.5212237,320000
-34.872,138.508,370000
-34.899,138.514,435000
-34.854,138.484,462500
-34.871,138.53,0
-34.883,138.483,2150000
-34.9041817,138.5581233,445000
-34.945278,138.50375,770000
-34.89,138.558,495000
