latitude,longitude,weights
-34.9328294,138.6038129,0
-34.9091145,138.5962997,0
-35.0183091,138.7442455,0
-34.939722,138.737222,0
-34.929881,138.7743842,22500
-34.998118,138.62254,142368.8394
-35.0712438,138.7064381,0
-35.0123998,138.7743842,30738.65546
-34.966565,138.7743842,660000
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,145161.2903
-34.9934589,138.6840168,0
-35.0858138,138.6777686,0
-34.9526096,138.7015768,0
-35.0275296,138.7166326,0
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,0
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,0
-34.9174787,138.7442455,0
-34.9788,138.732,72687.5
-34.8955402,138.6965591,119323.1911
-35.0579372,138.7015768,0
-35.0058863,138.714123,298734.6939
-34.935,138.678,0
-34.95,138.716667,736785.7143
-34.914,138.696,871071.4286
-35.015,138.686,189192.3077
-34.9599982,138.7417347,0
-34.96,138.676,1200000
-34.9063302,138.7116136,0
-34.918,138.685,319583.3333
-34.951,138.661,344445.6615
-34.919,138.643,325247.2527
-34.939,138.666,359822.0663
-34.936,138.63,14944.09938
-34.942,138.621,212597.4026
-34.928,138.662,499866.6667
-34.947,138.63,348891.5556
-34.9600124,138.6501667,424700.3333
-34.943,138.635,0
-34.951,138.639,403250
-34.939,138.657,139903.8462
-34.9376057,138.7040858,0
-34.9177203,138.6614478,580271.4286
-34.9208593,138.6551802,751534.4828
-34.93,138.651,136071.4286
-34.9677,138.671,0
-34.947,138.65,99464.48485
-34.909,138.6758,85422.29532
-34.963529,138.6614478,0
-34.93072,138.62798,627818.1818
-34.9221,138.6754,152750
-34.925,138.694,396000
-34.954,138.648,519736.8858
-34.935,138.678,0
-34.933,138.638,1039708.111
-34.9360768,138.6476601,341191.1765
-34.96,138.676,1200000
-34.927812,138.677073,0
-34.87,138.703,139889.6552
-34.878,138.663,177030.23
-34.8929224,138.6652086,131559.5611
-34.909,138.6758,85422.29532
-34.880165,138.6815087,141428.6381
-34.872,138.676,100928.747
-34.8955402,138.6965591,119323.1911
-34.905,138.662,92478.57143
-34.878,138.521,34106.73333
-34.904,138.555,282645.8333
-34.858,138.543,90767.19577
-34.893,138.547,133804.4508
-34.904,138.579,375323.8095
-34.897,138.577,65636.36364
-34.869,138.526,275333.3333
-34.898,138.564,441785.7143
-34.888,138.58,253000
-34.9004716,138.5312279,175531.8761
-34.908,138.546,92983.77243
-34.913,138.514,273230.7692
-34.9,138.489,141772.7273
-34.872,138.515,81483.33333
-34.92,138.494,215959.3301
-34.927,138.501,125609.2157
-34.906,138.57,0
-34.914,138.528,165522.3214
-34.8783839,138.552493,265608.6957
-34.898,138.586,428312.5
-34.856,138.529,70721.83908
-34.893,138.578,51320
-34.8925,138.5703,0
-34.8551221,138.5212237,66596.46465
-34.872,138.508,95177.5641
-34.899,138.514,164051.8775
-34.854,138.484,173981.383
-34.871,138.53,243054.1667
-34.883,138.483,155775
-34.9041817,138.5581233,273879.1667
-34.945278,138.50375,0
-34.89,138.558,144893.7931
-34.9054239,138.5625029,132202.8986
-34.8722171,138.496221,179193.7259
-34.86349,138.4862231,118155.8957
-34.881,138.535,0
-34.863,138.538,162011.5207
-34.882142,138.5449867,191050
-34.881,138.535,186048.1205
-34.8828,138.5258,150910.2745
-34.6383421,138.7661021,0
-34.616111,138.731667,71277.77778
-34.624,138.722,74739.21569
-34.62893,138.74885,56605.63078
-34.64552,138.72758,102384.6154
-34.5973516,138.7448796,373461.5385
-34.60192,138.76469,270.6796628
-34.611,138.751,15373.37662
-34.6037,138.73404,127033.4821
-34.625,138.696,0
-34.6438424,138.7040858,0
-34.59919,138.72957,0
